timestep,hour_of_day,day,p_load_mw,p_solar_mw,p_battery_mw,p_grid_mw,soc,v_min,v_max,v_mean,line_loading_max,v_severity,n_buses_below_090,renewable_pct,converged,blackout,severity,p_load_lag_1h,p_load_lag_3h,p_solar_lag_1h,soc_lag_1h,load_rolling_avg_6h,solar_rolling_avg_6h,v_min_rolling_min_6h,soc_rate_of_change,load_rate_of_change,load_solar_diff,grid_stress_index,solar_load_ratio,soc_deficit,v_violation_margin,net_power_balance,is_night,blackout_prob_ml,blackout_pred_ml,in_test_window,prediction_correct
0,0,0,1.686109,0.0,0.5,1.186109,0.236842,0.962247,1.0,0.977552,0.0001,0.0,0,0.0,1,0,0,1.686109,1.686109,0.0,0.236842,1.686109,0.0,0.962247,-0.136842,-0.06534400000000007,1.686109,0.7390077137729923,0.0,0.763158,0.042246999999999924,-1.186109,1,,0,0,1
1,1,0,1.620765,0.0,0.273684,1.347081,0.1,0.963758,1.0,0.978448,0.0001,0.0,0,0.0,1,0,0,1.686109,1.686109,0.0,0.236842,1.653437,0.0,0.962247,-0.136842,-0.06534400000000007,1.620765,0.7787586361597129,0.0,0.9,0.043757999999999964,-1.347081,1,0.0,0,0,1
2,2,0,1.611883,0.0,0.0,1.611883,0.1,0.963963,1.0,0.97857,0.0001,0.0,0,0.0,1,0,0,1.620765,1.686109,0.0,0.1,1.6395856666666668,0.0,0.962247,0.0,-0.008882000000000057,1.611883,0.7779616868550919,0.0,0.9,0.043962999999999974,-1.611883,1,0.0,0,0,1
3,3,0,1.626431,0.0,0.0,1.626431,0.1,0.963627,1.0,0.978371,0.0001,0.0,0,0.0,1,0,0,1.611883,1.686109,0.0,0.1,1.636297,0.0,0.962247,0.0,0.014548000000000005,1.626431,0.7792670255720053,0.0,0.9,0.04362699999999997,-1.626431,1,0.0,0,0,1
4,4,0,1.587026,0.0,0.0,1.587026,0.1,0.964536,1.0,0.97891,0.0001,0.0,0,0.0,1,0,0,1.626431,1.620765,0.0,0.1,1.6264428,0.0,0.962247,0.0,-0.03940499999999991,1.587026,0.7757313593539704,0.0,0.9,0.04453599999999991,-1.587026,1,0.0,0,0,1
5,5,0,1.592392,0.0,0.0,1.592392,0.1,0.964413,1.0,0.978837,0.0001,0.0,0,0.0,1,0,0,1.587026,1.611883,0.0,0.1,1.6207676666666666,0.0,0.962247,0.0,0.005365999999999982,1.592392,0.7762128308658592,0.0,0.9,0.044412999999999925,-1.592392,1,0.0,0,0,1
6,6,0,1.673165,0.090663,0.0,1.582502,0.1,0.965365,1.0,0.979618,0.0001,0.0,0,5.42,1,0,0,1.592392,1.626431,0.0,0.1,1.6186103333333335,0.015110499999999999,0.963627,0.0,0.08077299999999998,1.582502,0.7683497960969045,0.05418649434664582,0.9,0.04536499999999999,-1.582502,0,0.0,0,0,1
7,7,0,1.722372,0.311964,0.0,1.410407,0.1,0.967403,1.0,0.983416,0.0001,0.0,0,18.11,1,0,0,1.673165,1.587026,0.090663,0.1,1.6355448333333333,0.0671045,0.963627,0.0,0.049207,1.4104079999999999,0.7358814598474651,0.18112452993631462,0.9,0.04740299999999997,-1.4104079999999999,0,0.0,0,0,1
8,8,0,1.756207,0.666828,0.0,1.089379,0.1,0.971388,1.006636,0.989735,0.0001,0.0,0,37.97,1,0,0,1.722372,1.592392,0.311964,0.1,1.6595988333333336,0.1782425,0.963627,0.0,0.03383500000000006,1.089379,0.6797733503813369,0.37969762123848655,0.9,0.05138799999999999,-1.089379,0,0.0,0,0,1
9,9,0,1.806699,0.900404,0.0,0.906295,0.1,0.973231,1.020434,0.993294,0.0001,0.0,0,49.84,1,0,0,1.756207,1.673165,0.666828,0.1,1.6896435,0.32830983333333336,0.964413,0.0,0.05049199999999998,0.9062950000000001,0.6453744791386272,0.4983694027785465,0.9,0.05323099999999992,-0.9062950000000001,0,0.0,0,0,1
10,10,0,1.798861,1.046058,0.0,0.752802,0.1,0.975171,1.029601,0.995944,0.0001,0.0,0,58.15,1,0,0,1.806699,1.722372,0.900404,0.1,1.7249493333333337,0.5026528333333333,0.964413,0.0,-0.007838000000000012,0.7528030000000001,0.6203955374607447,0.5815109774957723,0.9,0.05517099999999997,-0.7528030000000001,0,0.0,0,0,1
11,11,0,1.770615,1.211838,0.0,0.558777,0.1,0.977734,1.040182,0.99913,0.0001,0.0,0,68.44,1,0,0,1.798861,1.756207,1.046058,0.1,1.7546531666666667,0.7046258333333334,0.965365,0.0,-0.028245999999999993,0.5587770000000001,0.5902311274113953,0.6844160450374333,0.9,0.05773399999999995,-0.5587770000000001,0,0.0,0,0,1
12,12,0,1.803802,1.382213,0.0,0.421589,0.1,0.978973,1.049514,1.001522,0.0001,0.0,0,76.63,1,0,0,1.770615,1.806699,1.211838,0.1,1.7764259999999998,0.9198841666666665,0.967403,0.0,0.033186999999999856,0.421589,0.5648130419470615,0.7662771378027423,0.9,0.05897299999999994,-0.421589,0,0.0,0,0,1
